Title,QID,Type,Action,Property,Value
Disquisition on the Malady of the Mimic,Q239250,Claim,Skipped,P82,Q215175
Disquisition on the Malady of the Mimic,Q239250,Claim,Skipped,P761,2000-01-01
Disquisition on the Malady of the Mimic,Q239250,Claim,Skipped,P145,Q234514
Disquisition on the Malady of the Mimic,Q239250,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Disquisition on the Malady of the Mimic,Q239250,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P32
Disquisition on the Malady of the Mimic,Q239250,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
Disquisition on the Malady of the Mimic,Q239250,Source,Skipped,P149,[[test:Q239104]]
On Humanoid Mimicry of Animals and Plants,Q239251,Claim,Skipped,P82,Q215175
On Humanoid Mimicry of Animals and Plants,Q239251,Claim,Skipped,P761,2000-01-01
On Humanoid Mimicry of Animals and Plants,Q239251,Claim,Skipped,P145,Q234514
On Humanoid Mimicry of Animals and Plants,Q239251,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
On Humanoid Mimicry of Animals and Plants,Q239251,Claim,Skipped,P31,https://test.wikidata.org/wiki/Property:P31
On Humanoid Mimicry of Animals and Plants,Q239251,Source,Skipped,P149,[[test:Q239104]]
On Humanoid Mimicry of Animals and Plants,Q239251,Source,Skipped,P149,[[test:Q226245]]
